,names,spec
621,Tremolite,Powder
622,Gormanite,Powder
623,Gedrite,Powder
624,Fluorapatite,Powder
625,Vanadinite,Powder
626,Arfvedsonite,Powder
627,Vayrynenite,Powder
628,Axinite-(Mn),Powder
629,Miserite,Powder
630,Rutile,Powder
631,Fluoro-richterite,Powder
632,Zircon,Powder
633,Riebeckite,Powder
634,Columbite-(Mn),Powder
635,Zircon,Powder
636,Clinozoisite,Powder
637,Metatorbernite,Powder
638,Corundum,Powder
639,Leightonite,Powder
640,Babingtonite,Powder
641,Zunyite,Powder
642,Berthierite,Powder
643,Pyrargyrite,Powder
644,Rhodonite,Powder
645,Arsenolite,Powder
646,Alum-(K),Powder
647,Marialite,Powder
648,Yoderite,Powder
649,Vayrynenite,Powder
650,Gaspeite,Powder
651,Calcite,Powder
652,Annite,Powder
653,Axinite-(Fe),Powder
654,Vuagnatite,Powder
655,Gunningite,"Powder, with minor component of boyleite"
656,Kenoargentotetrahedrite-(Fe),Powder
657,Annabergite,Powder
658,Gorgeyite,Powder
659,Grossular,Powder
660,Richterite,Powder
661,Rinkite-(Ce),Powder
662,Wulfenite,Powder
663,Monazite-(Ce),Powder
664,Enstatite,"Powder, mixed with anthophyllite (cell parameters 18.525(2), 18.000(4), 5.284(2))"
665,Staurolite,"Powder, the (00l) peaks of muscovite are also present"
666,Tellurium,Powder
667,Grossular,Powder
668,Parabutlerite,Powder
669,Trilithionite,Powder
670,Polylithionite,"Powder, with trace corundum contamination from the grinding process"
671,Prehnite,Powder
672,Lazulite,Powder
673,Clinohedrite,Powder
674,Krohnkite,Powder
675,Zinc,"Powder, using Mo radiation"
676,Actinolite,Powder
677,Phenakite,Powder
678,Alum-(K),Powder
679,Hollandite,Powder
680,Anhydrite,Powder
681,Andalusite,Powder
682,Norbergite,Powder
683,Cylindrite,Powder
684,Analcime,Powder
685,Carrollite,Powder
686,Monticellite,Powder
687,Cassiterite,Powder
688,Ilsemannite,"Powder, using Mo radiation"
689,Opal,Powder
690,Zunyite,Powder
691,Ephesite,Powder
692,Clintonite,Powder
693,Spessartine,Powder
694,Chambersite,Powder
695,Riebeckite,Powder
696,Cornwallite,Powder
697,Satterlyite,Powder
698,Cerussite,Powder
699,Dundasite,"Powder, using Mo radiation"
700,Aeschynite-(Y),Powder
701,Boussingaultite,Powder
702,Tveitite-(Y),Powder
703,Sodalite,Powder
704,Allanite-(Ce),Powder
705,Milarite,Powder
706,Fluorophlogopite,Powder
707,Hydroniumjarosite,Powder
708,Epidote,Powder
709,Cervantite,"Powder, with romeite and quartz"
710,Breithauptite,Powder
711,Germanite,"Powder, with minor tennantite (cubic: a=10.24)"
